station,location,ate,temp,precipitation,windspeed,RH
108,seoul,2019.1.1,-5,,2.1,49.5
108,seoul,2019.1.2,-4.9,,1.7,42.8
108,seoul,2019.1.3,-3.5,,1.4,38.8
108,seoul,2019.1.4,-1.1,,1.2,55.5
108,seoul,2019.1.5,-2.8,,2.2,40.3
108,seoul,2019.1.6,-2.8,,1.2,35
108,seoul,2019.1.7,-1.9,,1.4,46.4
108,seoul,2019.1.8,-3.5,,2.6,31
108,seoul,2019.1.9,-4.7,,1.3,28.8
108,seoul,2019.1.10,-0.6,,1.3,48.8
108,seoul,2019.1.11,2.4,,1,58.8
108,seoul,2019.1.12,2.8,,1.3,47.6
108,seoul,2019.1.13,1.2,,1.4,54.3
108,seoul,2019.1.14,1.4,,0.9,68.6
108,seoul,2019.1.15,-1.7,0,2.7,58.8
108,seoul,2019.1.16,-5.2,0,2.3,45.9
108,seoul,2019.1.17,-0.3,0,1.7,45.8
108,seoul,2019.1.18,0.6,,1.3,44
108,seoul,2019.1.19,3.6,,1.2,59.8
108,seoul,2019.1.20,-1.4,,3.2,38.5
108,seoul,2019.1.21,-1.2,0,1.6,57.8
108,seoul,2019.1.22,1.7,,1.7,62
108,seoul,2019.1.23,2,,2.3,48.9
108,seoul,2019.1.24,0.1,,1.7,34.9
108,seoul,2019.1.25,-1.2,,2.6,27.6
108,seoul,2019.1.26,-2.5,,2.4,30.9
108,seoul,2019.1.27,-0.1,,1.7,52.5
108,seoul,2019.1.28,1.2,0,3.1,40.4
108,seoul,2019.1.29,-0.2,,1.5,35.5
108,seoul,2019.1.30,1.8,,1.5,54.6
108,seoul,2019.1.31,-2,,2.9,29
108,seoul,2019.2.1,-2.1,0.3,1.7,47.6
108,seoul,2019.2.2,1.4,0,1,60
108,seoul,2019.2.3,3.3,16,1.7,92.9
108,seoul,2019.2.4,-0.6,,2.1,40.4
108,seoul,2019.2.5,2.8,,1,37.1
108,seoul,2019.2.6,5.1,,1.3,54.9
108,seoul,2019.2.7,-2.1,0.5,3.5,45.5
108,seoul,2019.2.8,-6.1,,2.3,31.5
108,seoul,2019.2.9,-5.4,,2.7,30
108,seoul,2019.2.10,-5,,1.7,31.3
108,seoul,2019.2.11,-3,,2.3,34.9
108,seoul,2019.2.12,-0.6,0,1.9,35.5
108,seoul,2019.2.13,-2.1,,2.4,26.6
108,seoul,2019.2.14,-0.5,,1.4,24.3
108,seoul,2019.2.15,-0.8,2.2,1.9,72.8
108,seoul,2019.2.16,-2.7,0.2,2.6,59
108,seoul,2019.2.17,-1.8,,1.9,47.4
108,seoul,2019.2.18,0.9,,1.3,43.5
108,seoul,2019.2.19,1.4,4.6,1.4,80.8
108,seoul,2019.2.20,1.7,0,2.1,67.8
108,seoul,2019.2.21,2.4,,1.5,59.4
108,seoul,2019.2.22,4,,1.5,56.1
108,seoul,2019.2.23,6.8,,1.1,41
108,seoul,2019.2.24,6.3,,1.8,45
108,seoul,2019.2.25,4.7,,2.3,55.8
108,seoul,2019.2.26,5.2,,1.6,32.8
108,seoul,2019.2.27,7.8,,1.6,31.3
108,seoul,2019.2.28,6.6,,2,39.5
108,seoul,2019.3.1,6.6,,2.1,42.3
108,seoul,2019.3.2,7.8,,1.1,37.6
108,seoul,2019.3.3,9.4,,1.5,36.4
108,seoul,2019.3.4,9.9,,1.9,46.1
108,seoul,2019.3.5,8.4,,2,66.3
108,seoul,2019.3.6,8.4,,2,55
108,seoul,2019.3.7,7,,2.2,51.1
108,seoul,2019.3.8,6.1,,1.9,39.4
108,seoul,2019.3.9,7.2,,1.3,31.8
108,seoul,2019.3.10,10.1,,1.2,26.4
108,seoul,2019.3.11,6.6,0,1.8,61
108,seoul,2019.3.12,3.9,0,2.7,55.1
108,seoul,2019.3.13,3.5,0,3.3,38.5
108,seoul,2019.3.14,5,0,1.9,45.3
108,seoul,2019.3.15,5.5,3.5,1.6,72.8
108,seoul,2019.3.16,4.3,,1.8,69.9
108,seoul,2019.3.17,6.3,,2,55.4
108,seoul,2019.3.18,7.1,,1.4,43.8
108,seoul,2019.3.19,10,,1.4,52
108,seoul,2019.3.20,10.3,16.5,1.4,79
108,seoul,2019.3.21,7.1,3.3,2.9,77.4
108,seoul,2019.3.22,3.3,,2.8,40.9
108,seoul,2019.3.23,3.3,1.7,2.4,46.9
108,seoul,2019.3.24,4.3,,2.3,45.4
108,seoul,2019.3.25,7.3,,2,56.1
108,seoul,2019.3.26,11.4,,2,51.1
108,seoul,2019.3.27,11.6,,3,66.4
108,seoul,2019.3.28,9.4,,2.6,49.9
108,seoul,2019.3.29,9.2,,2.1,33.1
108,seoul,2019.3.30,5.2,1.8,2.9,72
108,seoul,2019.3.31,4.4,0,3.2,46
108,seoul,2019.4.1,5.5,,2.5,39.8
108,seoul,2019.4.2,6.7,,2.2,36.9
108,seoul,2019.4.3,7.6,,2.3,36.1
108,seoul,2019.4.4,9.2,,2.5,43
108,seoul,2019.4.5,11.4,0,2.9,41
108,seoul,2019.4.6,9.3,0.8,1.1,39.9
108,seoul,2019.4.7,12.6,,1.7,43.1
108,seoul,2019.4.8,11.6,,2.5,25.6
108,seoul,2019.4.9,9.2,17.4,2.4,49.1
108,seoul,2019.4.10,7.1,5.6,1.8,78.4
108,seoul,2019.4.11,9.5,,1.9,58
108,seoul,2019.4.12,11.4,,2.2,48.5
108,seoul,2019.4.13,11.8,,1.8,34
108,seoul,2019.4.14,9.6,1.7,2.2,45.5
108,seoul,2019.4.15,11.6,,1.8,30.9
108,seoul,2019.4.16,14.9,,1.6,26.3
108,seoul,2019.4.17,15.3,,1.9,37.5
